bounds_fid,city_label,country,green_corr,trees_corr,green_area_corr,trees_area_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist,cc_green_area_sum_800_nw,cc_trees_area_sum_800_nw
422,Clermont-Ferrand,FR,0.35956176634563947,-0.21187194270916346,-0.5788198670467923,0.3889333345298959,24474,3528.93352862687,172.8765,104.64828,0.6950707,0.2679568
423,Annecy,FR,0.3953813583482039,-0.28021781567910126,-0.5027442351294874,0.5700494185536001,18824,3433.987046695967,113.56429,146.13525,5.164824,0.09573433
424,Zagreb,HR,0.35640172430265366,-0.2532287599143789,-0.5249557481515462,0.500955053329029,59390,5157.962094205862,159.69682,87.87949,2.615576,0.20831048
425,Osijek,HR,0.5425442999502076,-0.3204455388904797,-0.5515194575066684,0.6439857167582844,8974,3058.7413544275905,169.25179,84.61712,4.3110657,0.25171977
426,Pitești,RO,0.5229099496922818,-0.2435131483919296,-0.3600102099505476,0.6058009323079462,9320,4867.962217171,177.5041,196.10411,3.557219,0.05726406
427,Târgu Jiu,RO,0.6868491759013736,-0.09242336608965802,-0.7530573065182222,0.23227667837821356,4234,3964.328336847162,219.91852,157.97318,1.0325849,0.07043084
428,Lecco,IT,0.6093800982486752,-0.4880006285096445,0.13930452165352236,0.7544683025729831,7039,2744.813493517472,124.84966,278.39575,22.665497,0.052506067
429,Constanța,RO,0.46794674968117556,-0.2690970726962383,-0.6069561336474131,0.48285845735768285,13062,6596.162643871768,277.70474,42.389412,3.1165648,0.7124965
430,Varese,IT,0.5274526498462824,-0.15962638298092943,-0.6763820426889968,0.5865290083652159,11813,2238.5252067621,124.25323,106.007576,5.2599654,0.21676253
431,Lyon,FR,0.23645787267129043,-0.07952652441776502,-0.43475481613653455,0.1469382685699389,92579,6158.59944914338,190.59819,108.75863,0.5923365,0.258547
432,Como,IT,0.4833530632916598,-0.12866814953248074,-0.10302376785028673,0.3352399367988359,15245,2246.814067425873,193.98383,260.13712,11.344924,0.033602487
433,Lyon,FR,0.017211956605226213,-0.42447053997808765,-0.2879875977172092,0.5931453867287613,10145,2635.8742985351378,249.48068,133.98997,0.51621956,0.12274721
434,Trieste,IT,0.4842868632739463,-0.10663273157787086,-0.34530227743524294,0.42876124218837103,16796,435645.83827663475,132.95749,171.27069,1.797854,0.10399902
435,Treviso,IT,0.46375108100187734,0.0016649972690679752,-0.797022768067586,0.5079703370407639,9625,2887.6854066879678,178.6791,76.75558,0.694999,0.14646141
436,Bergamo,IT,0.2850611155902889,-0.29631109021237967,-0.42584111227388527,0.5607689966381808,34656,2569.444933314078,163.09164,236.08617,3.0886521,0.067415275
437,Gallarate,IT,0.1158527399830107,-0.4806802035780865,-0.36171406185565524,0.6578537325051871,16540,2154.268352801871,270.9183,306.76526,0.865701,0.06661753
438,Chambéry,FR,0.39725401137698074,-0.16385670395799878,-0.48798346726264624,0.6189994845576379,15937,2455.422360807102,156.1276,85.59485,4.2672524,0.1556665
439,Călărași,RO,0.38433502140346587,-0.19334393084158266,-0.539316749874657,0.48599234619825205,3405,4499.975244741217,195.43268,51.698193,2.9289114,0.6563346
440,Sector 1,RO,0.4472168770046318,-0.366685061376761,-0.5861735506025938,0.5608648073313846,90984,8481.973397880383,250.17488,89.9758,1.4388672,0.39053363
441,Saint-Étienne,FR,0.3133350475329453,-0.031585484675647334,-0.6346450552889852,0.44147787330023036,20196,3699.225765073855,138.36894,93.46973,0.908505,0.20238808
442,Busto Arsizio,IT,0.4000722019766092,-0.22720287774063244,-0.5601172945118271,0.4866653905638922,34892,2765.292973994832,170.73116,220.81923,1.0550271,0.045405276
443,Vicenza,IT,0.3473324854397485,-0.07548698343427318,-0.5845504056876137,0.6361639251471095,10040,2888.21163572478,152.76952,148.81033,1.03835,0.069549404
444,Brescia,IT,0.4720010084802993,-0.2254038303823879,-0.5063024266429879,0.5554570244648359,27897,2840.5870210525586,124.498856,198.48442,5.6852098,0.053571578
445,Venezia,IT,0.22249806457063506,-0.18777828859741147,-0.6338506902034248,0.5190717439675712,17727,3554.8627996198234,124.30301,89.62861,0.9334327,0.17135608
446,Novara,IT,0.5028186089185611,-0.33486572181426033,-0.5396795571717596,0.8534538639916743,8117,3811.339808669286,161.58139,135.33722,1.7714412,0.09667432
