bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
299,Banská Bystrica,SK,12554,0.42,0.41,0.36,0.29,2459.00,0.50,15.75,0.06,2.25,19.63,62.32,0.00,0.29
300,České Budějovice,CZ,14501,0.51,0.53,0.46,0.31,3217.76,0.50,16.85,1.30,1.40,19.34,61.10,0.00,0.34
302,Lappersdorf,DE,23461,0.45,0.47,0.48,0.38,2745.91,0.50,17.33,1.30,0.87,20.05,60.45,0.23,0.32
304,Neureut,DE,38995,0.44,0.45,0.47,0.26,3296.61,0.50,19.23,0.61,0.94,22.13,57.09,0.01,0.32
306,Ludwigsburg,DE,20233,0.38,0.40,0.50,0.37,2599.07,0.50,17.91,0.47,0.95,20.70,59.97,0.00,0.28
310,Stuttgart-Mitte,DE,82906,0.42,0.45,0.44,0.25,3382.21,0.50,18.87,1.06,1.41,20.65,58.01,0.04,0.31
312,Mitte,DE,17764,0.43,0.45,0.49,0.33,2529.54,0.50,16.72,1.60,1.18,21.30,59.20,0.00,0.30
314,Vaihingen,DE,15182,0.42,0.44,0.45,0.43,2637.04,0.50,16.67,2.41,1.70,19.85,59.37,0.00,0.30
318,Böblingen,DE,18289,0.40,0.41,0.50,0.35,2413.70,0.50,17.26,1.30,0.62,21.90,58.92,0.00,0.29
319,Trnava,SK,8631,0.54,0.61,0.46,0.44,3260.51,0.50,17.21,0.39,0.29,24.18,57.93,0.00,0.36
321,Nitra,SK,11481,0.47,0.51,0.41,0.27,2943.99,0.50,16.18,0.93,1.25,20.67,60.97,0.00,0.32
322,Nyíregyháza,HU,7507,0.45,0.47,0.48,0.38,3255.98,0.50,20.77,0.15,0.11,23.18,55.80,0.00,0.33
324,Strasbourg,FR,44889,0.48,0.51,0.41,0.32,4490.66,0.50,19.17,1.41,1.61,19.81,58.00,0.01,0.34
325,Ergolding,DE,14757,0.39,0.39,0.45,0.34,1917.78,0.50,18.70,0.69,1.78,22.17,56.66,0.00,0.29
327,Satu Mare,RO,7320,0.41,0.38,0.41,0.45,2067.52,0.50,16.60,0.27,0.94,20.38,61.80,0.00,0.29
333,Vannes,FR,11030,0.42,0.43,0.56,0.50,inf,0.50,30.00,0.00,30.05,0.00,39.95,17.58,0.36
334,Neu-Ulm,DE,28210,0.43,0.46,0.41,0.33,2750.26,0.50,20.19,0.73,0.47,21.41,57.19,0.00,0.32
